Система автоматизации,AS
Абонент,ГПА-32
Ретросистема,Текущий
Дата,02.12.22
Время,10:45:15
Длительность архива (сек),300.00
Время предыстории (сек),300.00
Шаг дискретизации (сек),1.00

Время,"Частота вращения ротора СТ (1), об/мин","Давление газа на входе Км, Р Гвх.Км, МПа","Давление газа на выходе Км, Рг.вых.Км, МПа","Положение крана  № 6р (АПРК), %","Температура газа на входе Км, ТГ.вх.Км, °С","Температура газа на выходе Км, ТГ.вых.Км, °С","Виброперемещение ротора Км в передней опоре, гор. сост. (размах), мкм","Виброперемещение ротора Км в передней опоре, верт. сост. (размах), мкм","Виброперемещение ротора Км в задней опоре гор. сост. (размах), мкм","Виброперемещение ротора Км в задней опоре верт. сост. (размах), мкм","Осевой сдвиг ротора К, мм","Перепад давления  на конфузоре,  DРКонф, кПа","Помпажный запас, %","Расчетная степень сжатия Км,","Частота вращения ротора СТ (2), об/мин"
-261.00,8427.1572,3.1586,4.3005,39.3808,14.9075,38.8680,28.9533,26.9278,26.9459,26.9640,0.3363,94.8380,46.5147,1.3501,8427.5371
-260.00,8427.2490,3.1586,4.2980,39.3265,14.9075,38.9438,30.9697,26.9278,25.9512,29.9570,0.3363,94.9537,46.5540,1.3494,8426.8711
-259.00,8429.0684,3.1586,4.2969,39.3265,14.9075,38.9438,30.9697,22.9311,25.9512,29.9570,0.3363,94.9363,46.5230,1.3491,8429.0684
-258.00,8428.6855,3.1586,4.2958,39.2470,14.9075,39.0195,27.9586,22.9311,24.9385,23.9710,0.3343,95.0521,46.5481,1.3486,8429.4521
-257.00,8430.1387,3.1597,4.2943,39.2795,14.9075,39.0195,27.9586,26.9278,24.9385,23.9710,0.3363,94.8958,46.4995,1.3478,8429.8340
-256.00,8430.9824,3.1597,4.2943,39.3157,14.9832,39.0195,24.9566,26.9278,23.9439,27.9586,0.3343,95.1157,46.5603,1.3477,8430.9063
-255.00,8429.8340,3.1597,4.2943,39.3591,14.9832,39.0195,24.9566,21.9274,23.9439,27.9586,0.3363,94.8843,46.5156,1.3477,8430.2168
-254.00,8429.8340,3.1597,4.2954,39.3374,14.9832,39.1204,25.9603,21.9274,22.9492,22.9763,0.3354,95.1736,46.5972,1.3480,8429.8340
-253.00,8430.2168,3.1597,4.2954,39.4350,14.9832,39.1204,25.9603,21.3035,22.9492,22.9763,0.3354,94.9248,46.5317,1.3481,8430.2168
-252.00,8427.9199,3.1597,4.2990,40.4116,14.9832,39.1961,24.9656,20.9328,21.9455,23.9710,0.3363,95.0810,46.5968,1.3488,8427.6309
-251.00,8420.2744,3.1597,4.3186,41.7933,14.9832,39.1961,24.9656,22.9311,21.9455,23.9710,0.3393,94.5602,46.5398,1.3545,8420.5283
-250.00,8409.2119,3.1597,4.3555,42.9362,14.9832,39.1961,27.9586,22.9311,24.9385,22.9673,0.3409,93.8542,46.4811,1.3654,8409.4102
-249.00,8395.2676,3.1597,4.3945,44.0285,14.9832,39.1961,27.9586,30.9245,24.9385,22.9673,0.3453,93.2002,46.4579,1.3771,8395.1396
-248.00,8379.9824,3.1597,4.4397,45.0340,14.9832,39.2718,35.9610,30.9245,28.9442,32.9590,0.3503,92.4074,46.4117,1.3909,8379.9824
-247.00,8364.0889,3.1597,4.4813,45.5657,14.9832,39.2718,35.9610,27.9225,28.9442,32.9590,0.3543,91.5509,46.3512,1.4037,8363.6768
-246.00,8352.6514,3.1597,4.5128,45.6489,14.9832,39.3727,31.9643,27.9225,24.9385,27.9586,0.3573,90.6597,46.2067,1.4136,8352.6514
-245.00,8343.6846,3.1597,4.5331,45.6091,14.9832,39.3727,31.9643,28.9171,24.9385,27.9586,0.3593,90.2951,46.1706,1.4203,8343.6846
-244.00,8337.4922,3.1597,4.5439,45.5585,14.9832,39.3727,30.9697,28.9171,27.9405,29.9570,0.3623,89.9132,46.1276,1.4239,8337.8682
-243.00,8333.9014,3.1597,4.5486,45.5585,14.9832,39.3727,30.9697,22.9311,27.9405,29.9570,0.3613,89.8322,46.1471,1.4257,8334.0869
-242.00,8331.8184,3.1597,4.5522,45.5367,14.9832,39.4737,28.9533,22.9311,22.9492,24.9656,0.3613,89.6238,46.1032,1.4267,8331.4424
-241.00,8331.0645,3.1597,4.5548,45.5295,14.9832,39.4737,28.9533,25.5624,22.9492,24.9656,0.3603,89.5718,46.1020,1.4275,8330.3086
-240.00,8330.6885,3.1597,4.5548,45.5621,14.9832,39.4737,30.9697,25.9241,25.9512,26.9640,0.3623,89.4734,46.0677,1.4275,8330.4824
-239.00,8329.9316,3.1597,4.5558,45.5042,14.9832,39.5494,30.9697,25.9241,25.9512,26.9640,0.3623,89.6238,46.1194,1.4278,8329.7246
-238.00,8329.1777,3.1612,4.5573,45.5078,14.9832,39.5494,28.9533,25.9241,26.9459,26.9640,0.3631,89.5255,46.0902,1.4277,8328.9658
-237.00,8329.5537,3.1612,4.5573,45.4716,14.9832,39.6251,28.9533,26.9278,26.9459,26.9640,0.3634,89.3924,46.0519,1.4277,8329.5537
-236.00,8329.7246,3.1612,4.5573,45.4861,14.9832,39.6251,26.9640,26.9278,24.9385,26.9640,0.3623,89.4676,46.0589,1.4277,8329.5537
-235.00,8329.3457,3.1612,4.5584,45.4897,14.9832,39.7008,26.9640,21.9274,24.9385,26.9640,0.3631,89.4849,46.0738,1.4280,8329.1777
-234.00,8330.5107,3.1612,4.5573,45.4861,14.9832,39.7008,24.9566,21.9274,22.9492,23.9710,0.3644,89.5428,46.0853,1.4277,8330.5107
-233.00,8330.1025,3.1612,4.5562,45.4499,14.9832,39.7008,24.9566,28.9171,22.9492,23.9710,0.3623,89.4849,46.0755,1.4274,8329.5537
-232.00,8331.0645,3.1612,4.5562,45.4825,14.9832,39.7765,30.9697,28.9171,25.9512,28.9623,0.3623,89.3113,45.9984,1.4273,8330.6885
-231.00,8343.9258,3.1612,4.5573,45.4825,14.9832,39.7765,30.9697,22.9311,25.9512,28.9623,0.3623,89.5081,45.9126,1.4277,8343.9258
-230.00,8349.4502,3.1612,4.5573,45.4391,14.9832,39.8522,26.3220,22.9311,21.9455,24.9656,0.3623,89.9074,45.9559,1.4277,8349.3428
-229.00,8354.2520,3.1612,4.5609,45.5042,14.9832,39.8522,25.9603,25.8699,21.9455,24.9656,0.3623,90.0347,45.9517,1.4287,8353.7891
-228.00,8355.7637,3.1612,4.5645,45.4897,14.9832,39.8522,28.9533,25.9241,24.9385,24.9656,0.3633,90.1968,45.9764,1.4297,8356.4502
-227.00,8357.9688,3.1612,4.5667,45.4680,14.9832,39.9279,28.9533,26.9278,24.9385,24.9656,0.3623,90.3530,46.0043,1.4305,8357.9688
-226.00,8358.3506,3.1612,4.5681,45.4644,14.9832,39.9279,29.9570,26.9278,23.9439,28.9623,0.3634,90.1157,45.9351,1.4310,8358.0332
-225.00,8360.6807,3.1612,4.5692,45.4499,14.9832,40.0036,29.9570,27.9225,23.9439,28.9623,0.3634,90.0926,45.8962,1.4313,8360.6309
-224.00,8370.1553,3.1612,4.5703,45.3921,14.9832,40.0036,27.9586,27.9225,24.9385,28.9623,0.3613,90.4572,45.8668,1.4316,8370.5332
-223.00,8377.4033,3.1612,4.5718,45.4138,14.9832,40.0793,27.9586,27.9225,24.9385,28.9623,0.3623,90.9317,45.9164,1.4321,8377.0215
-222.00,8381.9287,3.1612,4.5739,45.4391,14.9832,40.0793,30.9516,27.9225,27.9405,27.9586,0.3644,90.8565,45.8612,1.4327,8382.6914
-221.00,8384.2148,3.1612,4.5765,45.4174,14.9832,40.0793,30.9516,31.9191,27.9405,27.9586,0.3654,90.7118,45.8328,1.4334,8384.2148
-220.00,8383.0713,3.1623,4.5775,45.4463,14.9832,40.1550,31.9643,31.9191,29.9479,32.9409,0.3644,90.7697,45.8294,1.4337,8382.7549
-219.00,8383.4531,3.1623,4.5775,45.3957,14.9832,40.1550,31.9643,29.8846,29.9479,32.9680,0.3634,90.9201,45.8648,1.4334,8383.0713
-218.00,8384.4531,3.1623,4.5775,45.2872,14.9832,40.2307,26.0055,27.9134,24.9385,25.9603,0.3634,90.8276,45.8377,1.4333,8384.5244
-217.00,8383.8340,3.1623,4.5765,45.2293,14.9832,40.2307,25.9603,22.9311,22.9492,25.9603,0.3634,91.0185,45.8868,1.4331,8384.6670
-216.00,8384.2148,3.1623,4.5743,45.1461,14.9832,40.3064,22.9673,22.9311,22.9492,23.9710,0.3634,91.0590,45.8959,1.4326,8383.9004
-215.00,8385.4307,3.1623,4.5718,45.0014,14.9832,40.3064,22.9673,23.9258,22.9492,23.9710,0.3634,91.3079,45.9260,1.4318,8385.8154
-214.00,8387.6396,3.1623,4.5681,44.9219,14.9832,40.3064,24.9566,23.9258,23.9439,24.9656,0.3634,91.0995,45.8876,1.4307,8388.0205
-213.00,8388.4023,3.1633,4.5645,44.7157,15.0603,40.3821,24.9566,20.9328,23.9439,24.9656,0.3634,91.2326,45.8989,1.4290,8389.1631
-212.00,8391.5576,3.1633,4.5584,44.6940,15.0603,40.3821,27.9586,20.9328,24.9385,25.9603,0.3634,91.1169,45.8324,1.4274,8392.3252
-211.00,8392.5947,3.1633,4.5548,44.6976,15.0603,40.4578,27.9586,24.9204,24.9385,25.9603,0.3623,91.2905,45.8790,1.4260,8392.8633
-210.00,8391.8330,3.1633,4.5558,46.2818,15.0603,40.4578,26.9640,24.9204,23.9439,24.9656,0.3634,91.3484,45.9204,1.4262,8391.8330
-209.00,8384.6670,3.1633,4.5790,47.4899,15.0603,40.4578,26.9640,25.9241,23.9439,24.9656,0.3654,90.8102,45.8554,1.4324,8384.5957
-208.00,8370.9141,3.1633,4.6260,48.5786,15.0603,40.5335,31.9643,25.9241,27.9405,28.9623,0.3694,90.2026,45.8460,1.4463,8370.5322
-207.00,8356.1416,3.1633,4.6788,49.3417,15.0603,40.5335,31.9643,28.3474,27.9405,28.9623,0.3723,89.1030,45.7097,1.4622,8355.3105
-206.00,8339.0059,3.1623,4.7201,49.7685,15.0603,40.6092,25.9603,28.9171,25.9512,24.9656,0.3763,88.2349,45.6228,1.4759,8339.3809
-205.00,8332.0020,3.1623,4.7490,49.8481,15.0603,40.6092,25.9603,27.9225,25.9512,24.9656,0.3793,87.2974,45.4056,1.4853,8332.5771
-204.00,8332.0020,3.1633,4.7692,49.8770,15.0603,40.6849,30.9697,27.9225,26.9459,28.9623,0.3824,87.0081,45.2858,1.4913,8332.1982
-203.00,8333.7090,3.1633,4.7862,49.8879,15.0603,40.6849,30.9697,24.9204,26.9459,28.9623,0.3833,86.9618,45.2533,1.4963,8333.3311
-202.00,8335.8008,3.1633,4.7960,49.9060,15.0603,40.6849,34.9573,24.9204,25.9512,23.9710,0.3843,86.7882,45.1701,1.4995,8336.3555
-201.00,8335.4209,3.1633,4.8032,49.8264,15.0603,40.7606,34.9573,29.9298,25.9512,23.9710,0.3873,86.5856,45.1256,1.5019,8336.3555
-200.00,8340.5186,3.1633,4.8079,49.8155,15.0603,40.7606,33.9627,29.9298,28.9442,31.9643,0.3873,86.5162,45.0146,1.5033,8340.8975
-199.00,8347.7168,3.1633,4.8126,49.7938,15.0603,40.8363,33.9627,28.9171,28.9442,31.9643,0.3893,86.8924,45.0478,1.5046,8347.9814
-198.00,8353.0303,3.1633,4.8163,49.8083,15.0603,40.8363,27.9586,28.9171,25.9512,25.9603,0.3893,86.9676,45.0158,1.5059,8352.3643
-197.00,8356.8291,3.1633,4.8199,49.8264,15.0603,40.9120,27.9586,21.9274,25.9512,25.9603,0.3893,87.1296,45.0178,1.5069,8355.6895
-196.00,8355.6895,3.1633,4.8235,49.8119,15.0603,40.9120,29.7128,21.9274,22.9492,22.9673,0.3883,87.0833,45.0188,1.5081,8356.0684
-195.00,8356.5908,3.1633,4.8260,49.8662,15.0603,40.9877,29.9570,21.9274,22.9492,22.9673,0.3903,87.1701,45.0539,1.5089,8356.5908
-194.00,8357.2080,3.1633,4.8271,49.8083,15.0603,40.9877,34.9573,29.9298,29.9389,30.9697,0.3893,87.0544,44.9955,1.5093,8357.9688
-193.00,8357.2080,3.1633,4.8271,49.8119,15.0603,40.9877,34.9573,31.9282,29.9389,30.9697,0.3903,86.9618,44.9790,1.5093,8357.5898
-192.00,8356.5205,3.1633,4.8286,49.8300,15.0603,41.0634,25.9603,31.9282,24.9385,24.9656,0.3903,87.1817,45.0271,1.5098,8356.8291
-191.00,8364.0889,3.1633,4.8307,49.8698,15.0603,41.0634,25.9603,21.9274,24.9385,24.9656,0.3902,87.0081,44.9164,1.5104,8364.4385
-190.00,8372.4316,3.1633,4.8307,49.8300,15.0603,41.1644,32.9590,21.9274,22.9492,24.9656,0.3913,87.1238,44.8547,1.5104,8371.6738
-189.00,8377.7471,3.1633,4.8322,49.8336,15.0603,41.1644,32.9590,32.9228,22.9492,24.9656,0.3913,87.3148,44.8284,1.5109,8378.1289
-188.00,8379.6943,3.1633,4.8343,49.8336,15.0603,41.1644,41.9560,32.9228,32.9409,37.9593,0.3923,87.8646,44.9906,1.5115,8379.6494
-187.00,8379.2676,3.1633,4.8380,49.8047,15.0603,41.2401,41.9560,38.9088,32.9409,37.9593,0.3913,87.7662,44.9525,1.5125,8379.2676
-186.00,8380.0303,3.1633,4.8405,49.8119,15.0603,41.2401,32.9590,38.9088,30.9426,31.9643,0.3923,87.8009,44.9792,1.5133,8380.0303
-185.00,8380.8428,3.1633,4.8416,49.8228,15.0603,41.3158,32.9590,30.9245,30.9426,31.9643,0.3933,87.4306,44.8447,1.5138,8380.0762
-184.00,8381.1709,3.1633,4.8430,49.7866,15.0603,41.3158,31.9734,30.9245,28.9442,30.9697,0.3923,87.6505,44.8904,1.5141,8380.7891
-183.00,8380.7891,3.1633,4.8430,49.8589,15.0603,41.3915,31.9463,27.9225,28.9442,30.9697,0.3923,87.6736,44.9256,1.5142,8381.1709
-182.00,8382.3105,3.1633,4.8441,49.8228,15.1378,41.3915,22.9492,27.9225,22.9492,23.9710,0.3933,87.5000,44.8752,1.5145,8382.3105
-181.00,8381.9287,3.1633,4.8441,49.8698,15.1378,41.3915,22.9492,23.9258,22.9492,23.9710,0.3933,87.5289,44.8829,1.5145,8382.3105
-180.00,8382.3105,3.1648,4.8441,49.8626,15.1378,41.4924,29.9570,23.9258,23.9439,24.9656,0.3943,87.6157,44.8970,1.5139,8381.4932
-179.00,8381.5508,3.1648,4.8441,49.9855,15.1378,41.4924,29.9570,25.9241,23.9439,24.9656,0.3933,87.4537,44.8647,1.5139,8381.9287
-178.00,8380.4082,3.1648,4.8488,50.7704,15.1378,41.5681,30.9697,25.9241,24.9385,29.9570,0.3933,87.5116,44.8958,1.5146,8380.0303
-177.00,8369.3965,3.1648,4.8796,52.4884,15.1378,41.5681,30.9697,27.9134,24.9385,29.9570,0.3973,87.0544,44.8910,1.5221,8370.1553
-176.00,8356.8291,3.1648,4.9356,53.1937,15.1378,41.6438,24.9566,27.9134,24.9385,21.9727,0.4023,85.8218,44.6809,1.5384,8356.1416
-175.00,8342.0342,3.1637,4.9863,54.1196,15.1378,41.6438,24.9566,36.9195,24.9385,21.9727,0.4066,84.7396,44.4919,1.5547,8342.4102
-174.00,8336.7344,3.1637,5.0456,55.0203,15.1378,41.6438,43.9544,36.9195,33.9355,37.9593,0.4167,83.6111,44.1899,1.5724,8336.7344
-173.00,8327.6670,3.1637,5.1110,55.8377,15.1378,41.7195,43.9544,39.8040,33.9355,37.9593,0.4222,82.3958,43.8958,1.5924,8327.8252
-172.00,8318.9932,3.1637,5.1649,55.9715,15.1378,41.7195,38.9540,40.9162,36.9376,35.9610,0.4263,81.2963,43.6286,1.6099,8319.1104
-171.00,8318.7314,3.1637,5.2029,55.9534,15.1378,41.8205,38.9540,27.9225,36.9376,35.9610,0.4303,80.6539,43.3868,1.6220,8318.3535
-170.00,8318.6172,3.1637,5.2304,55.9715,15.1378,41.8205,48.9638,27.9225,31.9372,35.9610,0.4342,80.2199,43.2176,1.6308,8318.3535
-169.00,8325.9287,3.1637,5.2499,55.9932,15.1378,41.8205,48.9638,40.9162,31.9372,35.9610,0.4372,80.1215,43.0539,1.6373,8325.7813
-168.00,8332.5771,3.1637,5.2648,55.9353,15.1378,41.8962,46.9564,40.9162,38.9359,40.9614,0.4392,80.0752,42.9853,1.6424,8332.5771
-167.00,8336.7344,3.1637,5.2771,55.9715,15.1378,41.9971,46.9564,32.9228,38.9359,40.9614,0.4402,79.9479,42.8880,1.6463,8336.1807
-166.00,8339.7598,3.1637,5.2865,56.0004,15.1378,41.9971,52.9514,32.9228,38.9359,43.9544,0.4442,79.9306,42.8491,1.6492,8339.2227
-165.00,8347.0781,3.1648,5.2937,55.9824,15.1378,41.9971,52.9514,69.8965,38.9359,43.9544,0.4483,79.8958,42.7161,1.6509,8347.4561
-164.00,8354.1709,3.1648,5.2988,55.9643,15.1378,42.0745,79.9515,69.8965,63.9287,65.9361,0.4523,80.0984,42.7063,1.6524,8353.4961
-163.00,8356.4502,3.1648,5.3035,55.9462,15.1378,42.0745,79.9515,74.8879,63.9287,65.9361,0.4542,80.2373,42.7263,1.6542,8356.4502
-162.00,8358.0332,3.1648,5.3082,55.9462,15.1378,42.1520,98.6057,74.8879,68.9200,70.9455,0.4542,80.1620,42.6893,1.6555,8358.3506
-161.00,8357.6543,3.1648,5.3118,55.9606,15.1378,42.1520,102.9460,81.3893,68.9200,70.9455,0.4552,80.1505,42.6888,1.6567,8358.3506
-160.00,8358.3506,3.1648,5.3143,55.9534,15.1378,42.2295,102.9460,81.8866,78.9117,72.9347,0.4572,80.3241,42.7099,1.6576,8358.3506
-159.00,8367.4844,3.1648,5.3154,55.9462,15.1378,42.2295,102.9460,79.8882,78.9117,72.9347,0.4582,80.3819,42.6555,1.6581,8366.7412
-158.00,8373.5693,3.1648,5.3179,55.9824,15.1378,42.3070,101.9513,79.8882,80.9010,72.9347,0.4582,80.5324,42.5885,1.6587,8373.9492
-157.00,8379.6494,3.1648,5.3215,55.9824,15.1378,42.3070,101.9513,82.8903,80.9010,72.9347,0.4582,80.6597,42.6035,1.6597,8380.0303
-156.00,8381.5508,3.1648,5.3252,55.9606,15.1378,42.3846,102.9460,82.8903,81.9046,73.9384,0.4592,80.7465,42.5878,1.6609,8381.5508
-155.00,8380.4082,3.1648,5.3299,55.9462,15.1378,42.3846,102.9460,82.8903,81.9046,73.9384,0.4602,80.7292,42.6178,1.6622,8380.4609
-154.00,8380.0303,3.1648,5.3313,55.8992,15.1378,42.4621,101.9513,82.8903,77.9080,76.9314,0.4592,80.6539,42.5943,1.6629,8379.6494
-153.00,8381.2246,3.1648,5.3335,55.8811,15.1378,42.4621,101.9513,81.8866,77.9080,76.9314,0.4602,80.7118,42.6058,1.6634,8381.2246
-152.00,8380.7891,3.1648,5.3335,55.9172,15.1378,42.5654,105.9389,81.8866,79.8973,74.9331,0.4582,80.7060,42.6025,1.6636,8380.0303
-151.00,8377.3008,3.1648,5.3349,55.9643,15.1378,42.5654,105.9389,82.8903,79.8973,74.9331,0.4582,80.7697,42.6649,1.6637,8377.3340
-150.00,8380.7891,3.1648,5.3349,55.9932,15.1378,42.6429,105.9389,82.8903,80.9010,74.9331,0.4602,80.5440,42.5554,1.6640,8380.0303
-149.00,8378.5098,3.1648,5.3349,55.9245,15.2153,42.6429,105.9389,81.8956,80.9010,74.9331,0.4602,80.7465,42.6780,1.6640,8378.1289
-148.00,8381.0635,3.1648,5.3360,55.9209,15.2153,42.7204,98.9403,81.8956,74.9150,75.9368,0.4612,80.4572,42.5556,1.6644,8381.1162
-147.00,8380.8428,3.1648,5.3360,55.9172,15.2153,42.7979,98.9403,82.8903,74.9150,75.9368,0.4602,80.5556,42.5667,1.6644,8379.6494
-146.00,8380.4082,3.1659,5.3360,55.9281,15.2153,42.7979,106.9426,82.8903,77.9080,74.9421,0.4612,80.5151,42.5482,1.6638,8381.1709
-145.00,8380.4609,3.1659,5.3360,55.9426,15.2153,42.8754,106.9426,87.8725,77.9713,74.9421,0.4602,80.4745,42.5322,1.6638,8380.7891
-144.00,8380.4609,3.1659,5.3360,55.8702,15.2153,42.8754,107.9373,87.8725,83.9120,76.9314,0.4609,80.5729,42.5714,1.6638,8380.0762
-143.00,8378.9307,3.1659,5.3371,55.8558,15.2153,42.9529,107.9373,86.8779,83.9120,76.9314,0.4612,80.4977,42.5598,1.6639,8379.6943
-142.00,8381.5508,3.1659,5.3371,55.9172,15.2153,42.9529,109.9356,86.8779,82.8993,75.9368,0.4612,80.5556,42.5460,1.6642,8380.7891
-141.00,8381.5508,3.1659,5.3371,55.9100,15.2153,43.0550,109.9356,88.8853,82.8993,75.9368,0.4622,80.5324,42.5499,1.6642,8381.6064
