Система автоматизации,AS
Абонент,ГПА-32
Ретросистема,Текущий
Дата,28.09.24
Время,19:30:43
Длительность архива (сек),25200.00
Время предыстории (сек),25200.00
Шаг дискретизации (сек),1.00

Время,"Частота вращения ротора СТ (1), об/мин","Давление газа на входе Км, Р Гвх.Км, МПа","Давление газа на выходе Км, Рг.вых.Км, МПа","Положение крана  № 6р (АПРК), %","Температура газа на входе Км, ТГ.вх.Км, °С","Температура газа на выходе Км, ТГ.вых.Км, °С","Виброперемещение ротора Км в передней опоре, гор. сост. (размах), мкм","Виброперемещение ротора Км в передней опоре, верт. сост. (размах), мкм","Виброперемещение ротора Км в задней опоре гор. сост. (размах), мкм","Виброперемещение ротора Км в задней опоре верт. сост. (размах), мкм","Осевой сдвиг ротора К, мм","Перепад давления  на конфузоре,  DРКонф, кПа","Расчетная степень сжатия Км,"
-25188.88,7762.7358,3.9779,6.9817,100.1772,21.3634,72.9204,,28.9081,21.9455,21.6200,0.7210,38.9873,1.7366
-25187.88,7764.7632,3.9779,6.9806,100.1157,21.3634,72.9204,,27.9134,24.9385,20.9599,0.7210,38.7847,
-25186.88,7766.1704,3.9779,6.9806,100.1049,21.3634,72.9204,,27.9134,24.9385,21.9727,0.7220,38.8194,
-25185.88,7763.3579,3.9779,6.9806,100.1266,21.3634,72.9204,,29.9117,24.9385,21.9727,0.7210,38.8715,
-25184.88,7765.9160,3.9779,6.9806,100.0904,21.3634,72.9204,,29.9117,24.9385,21.9727,0.7221,38.8426,
-25183.88,7764.5034,3.9779,6.9806,100.0868,21.3634,72.9204,,25.9151,19.9472,21.9727,0.7210,38.9873,
-25182.88,7765.9160,3.9779,6.9817,100.0977,21.3634,72.9204,,25.9151,19.9472,19.9653,0.7210,38.8021,
-25181.88,7767.6846,3.9779,6.9817,100.0832,21.3634,72.9204,,25.9151,19.9472,19.9653,0.7220,38.6748,
-25180.88,7765.5645,3.9779,6.9817,100.1230,21.3634,72.9204,,25.9151,19.9472,19.9653,0.7210,38.9063,
-25179.88,7764.5034,3.9779,6.9817,100.1808,21.3634,72.9204,,26.9188,24.9385,20.9599,0.7210,38.8426,
-25178.88,7767.5776,3.9779,6.9817,100.0904,21.3634,72.9204,,26.9188,24.9385,20.9599,0.7231,38.7326,
-25177.88,7765.4678,3.9779,6.9817,100.0615,21.3634,72.9204,,27.9134,23.9619,20.9599,0.7210,38.9583,
-25176.88,7762.7358,3.9789,6.9817,,21.3634,72.9204,,27.9134,23.9619,20.2998,0.7210,38.9583,
-25175.88,7763.4419,3.9779,6.9817,,21.3634,72.9204,,27.9134,23.9619,19.9653,0.7210,38.8137,
-25174.88,7763.7964,3.9779,6.9817,,21.3634,72.9204,,27.9134,23.9619,20.9599,0.7210,38.9583,
-25173.88,7765.2104,3.9779,6.9817,,21.3634,72.9204,,25.9151,24.9385,20.9599,0.7210,38.8368,
-25172.88,7764.8550,3.9779,6.9817,,21.3634,72.9204,,25.9151,24.9385,20.9599,0.7220,38.9815,
-25171.88,7765.2104,3.9789,6.9817,,21.3634,72.9204,,27.9134,20.9509,20.9599,0.7210,38.9468,
-25170.88,7760.9712,3.9789,6.9817,,21.3634,72.9204,,27.9134,20.9509,20.9599,0.7210,38.9352,
-25169.88,7761.9536,3.9779,6.9828,,21.3634,72.9204,,27.9134,23.9439,20.9599,0.7210,39.0625,
-25168.88,7764.5034,3.9779,6.9828,,21.3634,72.9204,,27.9134,23.9439,20.9599,0.7210,38.9005,
-25167.88,7765.9160,3.9779,6.9817,,21.3634,72.9204,,26.9188,22.9492,19.9653,0.7210,38.6690,
-25166.88,7764.4116,3.9789,6.9817,,21.3634,72.9204,,26.9188,22.9492,19.9653,0.7210,38.9063,
-25165.88,7763.3579,3.9789,6.9817,,21.3634,72.9204,,26.9188,21.9455,19.9653,0.7220,38.9063,
-25164.88,7760.6196,3.9789,6.9817,,21.3634,72.9204,,26.9188,21.9455,21.7737,0.7210,39.1088,
-25163.88,7762.0322,3.9789,6.9817,,21.3634,72.9204,,28.9081,24.9385,21.9727,0.7210,38.8947,
-25162.88,7763.7964,3.9789,6.9817,,21.3634,72.9204,,28.9081,24.9385,21.9727,0.7215,38.8484,
-25161.88,7764.5034,3.9789,6.9828,,21.3634,72.9204,,28.9081,24.9385,21.9727,0.7220,38.8194,
-25160.88,7762.3052,3.9789,6.9828,,21.3634,72.9204,,28.9081,24.9385,20.9599,0.7210,39.0799,
-25159.88,7765.9160,3.9789,6.9828,,21.3634,72.9204,,28.9081,21.9455,20.9599,0.7220,38.6748,
-25158.88,7764.0610,3.9789,6.9817,,21.3634,72.9204,,28.9081,21.9455,20.9599,0.7220,38.8947,
-25157.88,7762.3052,3.9789,6.9828,,21.3634,72.9204,,29.9117,21.9455,21.9727,0.7220,39.0220,
-25156.88,7763.2759,3.9789,6.9831,,21.3634,72.9204,,29.9117,21.9455,21.9727,0.7220,38.9815,
-25155.88,7764.8550,3.9779,6.9831,,21.3634,72.9204,,26.9188,20.9509,20.9599,0.7229,38.8194,
-25154.88,7759.9790,3.9789,6.9828,,21.3634,72.9204,,26.9188,20.9509,20.9599,0.7211,39.0220,
-25153.88,7764.1489,3.9779,6.9817,,21.3634,72.9204,,25.9151,21.9455,20.9599,0.7220,38.9468,
-25152.88,7764.9497,3.9789,6.9828,,21.3634,72.9204,,25.9151,21.9455,20.9599,0.7229,38.9757,
-25151.88,7765.2104,3.9789,6.9828,,21.3634,72.9204,,27.9134,25.9512,20.9599,0.7220,39.0509,
-25150.88,7765.3052,3.9789,6.9828,,21.3634,72.9204,,27.9134,25.9512,20.9599,0.7229,39.0104,
-25149.88,7763.7964,3.9789,6.9817,,21.3634,72.9204,,26.9188,24.9385,20.9599,0.7220,38.8657,
-25148.88,7763.3579,3.9789,6.9831,,21.3634,72.9204,,26.9188,24.9385,20.9599,0.7231,39.0336,
-25147.88,7761.6021,3.9789,6.9842,,21.3634,72.9204,,27.9134,22.9492,20.9599,0.7210,39.0046,
-25146.88,7762.3838,3.9789,6.9817,,21.3634,72.9204,,27.9134,22.9492,20.9599,0.7210,38.9063,
-25145.88,7763.4419,3.9789,6.9828,,21.3634,72.9204,,28.9081,21.9455,20.9599,0.7210,38.8484,
-25144.88,7765.4678,3.9789,6.9828,,21.3634,72.9204,,28.9081,21.9455,20.9599,0.7220,38.8773,
-25143.88,7764.0610,3.9789,6.9828,,21.3634,72.9204,,27.9134,22.9402,20.9599,0.7210,38.9931,
-25142.88,7762.6553,3.9789,6.9842,,21.3634,72.9204,,27.9134,22.9402,20.9599,0.7210,38.9641,
-25141.88,7764.1489,3.9789,6.9842,,21.3634,72.9204,,28.9081,26.9459,20.9599,0.7220,38.8079,
-25140.88,7767.3320,3.9789,6.9817,,21.3634,72.9204,,28.9081,26.9459,20.9599,0.7231,38.7731,
-25139.88,7766.8726,3.9789,6.9831,,21.3634,72.9204,,25.9151,24.9385,20.9599,0.7220,38.8484,
-25138.88,7764.5034,3.9789,6.9842,,21.3634,72.9204,,25.9151,24.9385,21.9727,0.7210,38.9757,
-25137.88,7763.2759,3.9789,6.9842,,21.3634,72.9204,,25.9151,20.9509,21.9727,0.7220,38.9931,
-25136.88,7761.6782,3.9789,6.9842,,21.3634,72.9204,,25.9151,20.9509,20.9599,0.7231,38.9468,
-25135.88,7763.4419,3.9789,6.9831,,21.3634,72.9204,,30.9064,23.9439,20.9599,0.7210,38.8021,
-25134.88,7762.4624,3.9789,6.9842,,21.3634,72.9204,,30.9064,23.9439,20.9599,0.7221,39.0394,
-25133.88,7763.7964,3.9789,6.9831,,21.3634,72.9204,,25.9151,24.9385,20.9599,0.7224,38.8484,
-25132.88,7766.5210,3.9789,6.9831,,21.3634,72.9204,,25.9151,24.9385,20.9599,0.7220,38.7905,
-25131.88,7766.9775,3.9789,6.9831,,21.3634,72.9204,,26.9188,23.9439,20.9599,0.7229,38.8194,
-25130.88,7762.3052,3.9789,6.9831,,21.3634,72.9204,,26.9188,23.9439,21.8009,0.7220,38.9352,
-25129.88,7763.7964,3.9789,6.9831,,21.3634,72.9204,,26.9188,21.9455,21.9727,0.7210,38.6979,
-25128.88,7765.1167,3.9789,6.9831,,21.3634,72.9204,,26.9188,21.9455,19.9653,0.7210,38.7616,
-25127.88,7766.8726,3.9789,6.9842,,21.3634,72.9204,,27.9134,25.9512,19.9653,0.7231,38.6979,
-25126.88,7765.8188,3.9789,6.9831,,21.3634,72.9204,,27.9134,25.9512,19.9653,0.7220,38.8137,
-25125.88,7763.0903,3.9789,6.9842,,21.3634,72.9204,,27.9134,23.9439,19.9653,0.7221,38.9063,
-25124.88,7763.4419,3.9789,6.9842,,21.3634,72.9204,,27.9134,23.9439,19.9653,0.7220,38.8310,
-25123.88,7764.1489,3.9789,6.9831,,21.3634,72.9204,,28.9081,24.9385,20.9599,0.7231,38.8657,
-25122.88,7764.8550,3.9789,6.9831,,21.3634,72.9204,,28.9081,24.9385,20.9599,0.7220,38.8310,
-25121.88,7764.0610,3.9793,6.9831,,21.3634,72.9204,,25.9151,21.9455,20.9599,0.7220,38.8079,
-25120.88,7762.7358,3.9793,6.9842,,21.3634,72.9204,,25.9151,21.9455,20.8062,0.7231,38.9815,
-25119.88,7763.7964,3.9793,6.9831,,21.3634,72.9204,,25.9151,24.9385,19.9653,0.7220,38.8484,
-25118.88,7760.9712,3.9793,6.9817,,21.3634,72.9204,,25.9151,24.9385,19.9653,0.7220,39.0972,
-25117.88,7763.3579,3.9793,6.9828,,21.3634,72.9204,,26.9188,22.9492,19.9653,0.7220,38.8021,
-25116.88,7764.4116,3.9793,6.9817,,21.3634,72.9204,,26.9188,22.9492,20.9599,0.7210,38.6690,
-25115.88,7765.4678,3.9793,6.9817,,21.3634,72.9204,,28.9081,24.9385,20.9599,0.7231,38.7269,
-25114.88,7768.2793,3.9804,6.9828,,21.3634,72.9204,,28.9081,24.9385,21.9727,0.7231,38.7789,
-25113.88,7766.1704,3.9793,6.9828,,21.3634,72.9204,,28.9081,22.9492,21.9727,0.7220,39.1493,
-25112.88,7765.9160,3.9804,6.9817,,21.3634,72.9204,,28.9081,22.9492,21.9727,0.7220,38.8889,
-25111.88,7765.0229,3.9793,6.9828,,21.3634,72.9204,,27.9134,22.9492,20.9599,0.7220,39.0046,
-25110.88,7766.6230,3.9804,6.9817,,21.3634,72.9204,,27.9134,22.9492,20.9599,0.7220,38.8657,
-25109.88,7765.2104,3.9804,6.9828,,21.3634,72.9204,,25.9151,22.9492,20.9599,0.7220,39.0451,
-25108.88,7764.1489,3.9804,6.9828,,21.3634,72.9204,,25.9151,22.9492,20.9599,0.7231,38.8484,
-25107.88,7761.9536,3.9793,6.9817,,21.3634,72.9204,,27.9134,25.9512,20.9599,0.7220,39.1030,
-25106.88,7760.6196,3.9804,6.9806,,21.3634,72.9204,,27.9134,25.9512,20.9599,0.7220,38.8715,
-25105.88,7761.6782,3.9793,6.9806,,21.3634,72.9204,,26.9188,22.9492,20.9599,0.7220,38.9063,
-25104.88,7764.8550,3.9804,6.9817,,21.3634,72.9204,,26.9188,22.9492,19.9653,0.7231,38.7153,
-25103.88,,3.9793,6.9806,,21.3634,72.9204,,27.9134,24.9385,19.9653,0.7224,38.9468,
-25102.88,,3.9793,6.9806,,21.3634,72.9204,,27.9134,24.9385,19.9653,0.7220,38.9178,
-25101.88,,3.9804,6.9817,,21.3634,72.9204,,27.9134,23.9439,19.9653,0.7231,38.8889,
-25100.88,,3.9804,6.9817,,21.3634,72.9204,,27.9134,23.9439,19.9653,0.7231,38.8600,
-25099.88,,3.9804,6.9817,,21.3634,72.9204,,28.9081,25.9512,21.9727,0.7231,38.9931,
-25098.88,,3.9804,6.9817,,21.3634,72.9204,,28.9081,25.9512,21.9727,0.7231,38.7905,
-25097.88,,3.9804,6.9817,,21.3634,72.9204,,30.9064,24.9385,22.9763,0.7231,39.0799,
-25096.88,,3.9804,6.9817,,21.3634,72.9204,,30.9064,24.9385,21.4572,0.7229,38.7500,
-25095.88,,3.9804,6.9806,,21.3634,72.9204,,26.9188,20.9509,20.9599,0.7229,38.7905,
-25094.88,,3.9804,6.9817,,21.3634,72.9204,,26.9188,20.9509,20.9599,0.7229,38.9352,
-25093.88,,3.9804,6.9806,,21.3634,72.9204,,27.9134,24.9385,20.9599,0.7229,38.9468,
-25092.88,,3.9804,6.9806,,21.3634,72.9204,,27.9134,24.9385,19.9653,0.7220,38.8426,
-25091.88,,3.9804,6.9806,,21.3634,72.9204,,24.9204,19.9472,19.9653,0.7231,38.8079,
-25090.88,,3.9804,6.9817,,21.3634,72.9204,,24.9204,19.9472,19.9653,0.7220,39.0104,
-25089.88,,3.9804,6.9817,,21.3634,72.9204,,27.9134,22.9402,20.9599,0.7231,38.6921,
-25088.88,,3.9804,6.9817,,21.3634,72.9204,,27.9134,22.9402,20.9599,0.7210,39.1956,
-25087.88,,3.9804,6.9817,,21.3634,72.9204,,26.9188,24.9385,20.9599,0.7220,39.0451,
-25086.88,,3.9804,6.9806,,21.3634,72.9204,,26.9188,24.9385,20.9599,0.7229,38.9178,
-25085.88,,3.9804,6.9806,,21.3634,72.9204,,27.9134,23.9439,20.9599,0.7231,38.9468,
-25084.88,,3.9804,6.9806,,21.3634,72.9204,,27.9134,23.9439,20.9599,0.7231,38.8021,
-25083.88,,3.9804,6.9806,,21.3634,72.9204,,26.9188,23.9439,20.9599,0.7231,38.9931,
-25082.88,,3.9804,6.9817,,21.3634,72.9204,,26.9188,23.9439,22.9763,0.7231,39.0046,
-25081.88,,3.9804,6.9817,,21.3634,72.9204,,27.9134,24.9385,22.9763,0.7220,39.0509,
-25080.88,,3.9804,6.9806,,21.3634,72.9204,,27.9134,24.9385,21.9727,0.7231,38.9583,
-25079.88,,3.9804,6.9817,,21.3634,72.9204,,30.9064,23.9439,21.9727,0.7220,38.9294,
-25078.88,,3.9804,6.9817,,21.3634,72.9204,,30.9064,23.9439,21.9727,0.7220,39.1493,
-25077.88,,3.9804,6.9806,,21.3634,72.9204,,29.9117,22.9492,20.9599,0.7221,38.9931,
-25076.88,,3.9804,6.9817,,21.3634,72.9204,,29.9117,22.9492,20.9599,0.7229,39.1319,
-25075.88,,3.9804,6.9806,,21.3634,72.9204,,28.9081,23.9439,19.9653,0.7229,38.8889,
-25074.88,,3.9804,6.9817,,21.3634,72.9204,,28.9081,23.9439,20.2998,0.7220,38.8715,
-25073.88,,3.9804,6.9806,,21.3634,72.9204,,27.9134,23.9439,20.9599,0.7220,39.0336,
-25072.88,,3.9804,6.9795,,21.3634,72.9204,,27.9134,23.9439,19.9834,0.7220,39.0336,
-25071.88,,3.9804,6.9806,,21.3634,72.9204,,26.9188,21.9455,19.9834,0.7210,39.0336,
-25070.88,,3.9804,6.9806,,21.3634,72.9204,,26.9188,21.9455,20.9599,0.7229,38.9178,
-25069.88,,3.9804,6.9792,,21.3634,72.9204,,27.9134,25.9512,20.9599,0.7220,39.0394,
-25068.88,,3.9804,6.9792,,21.3634,72.9204,,27.9134,25.9512,19.9653,0.7220,38.8310,
-25067.88,,3.9804,6.9792,,21.3634,72.9204,,25.9151,21.9455,19.9653,0.7229,38.9236,
-25066.88,,3.9804,6.9795,,21.3634,72.9204,,25.9151,21.9455,19.9653,0.7210,38.9873,
-25065.88,,3.9804,6.9795,,21.3634,72.9204,,32.9138,25.9512,19.9653,0.7229,38.9815,
-25064.88,,3.9804,6.9795,,21.3634,72.9204,,32.9138,25.9512,19.9653,0.7210,39.1898,
-25063.88,,3.9804,6.9806,,21.3634,72.9204,,28.9081,26.9459,20.9599,0.7210,39.1204,
-25062.88,,3.9804,6.9795,,21.3634,72.9204,,28.9081,26.9459,21.6200,0.7217,39.1609,
-25061.88,,3.9804,6.9792,,21.3634,72.9204,,27.9134,21.9455,21.9727,0.7231,38.8194,
-25060.88,,3.9804,6.9792,,21.3634,72.9204,,27.9134,21.9455,21.9727,0.7210,39.0625,
-25059.88,,3.9804,6.9781,,21.3634,72.9204,,28.9081,23.9439,21.9727,0.7210,38.9352,
-25058.88,,3.9804,6.9795,,21.3634,72.9204,,28.9081,23.9439,19.9653,0.7229,38.9468,
-25057.88,,3.9804,6.9792,,21.3634,72.9204,,27.9134,23.9439,19.9653,0.7220,38.8773,
-25056.88,,3.9804,6.9781,,21.3634,72.9204,,27.9134,23.9439,20.9599,0.7218,38.9525,
-25055.88,,3.9804,6.9781,,21.3634,72.9204,,25.9151,23.9439,20.9599,0.7220,39.2477,
-25054.88,,3.9804,6.9781,,21.3634,72.9204,,25.9151,23.9439,20.9599,0.7214,38.8484,
-25053.88,,3.9804,6.9792,,21.3634,72.9204,,26.9188,22.9492,21.9727,0.7220,39.0104,
-25052.88,,3.9804,6.9792,,21.3634,72.9204,,26.9188,22.9492,21.9094,0.7220,38.9352,
-25051.88,,3.9804,6.9781,,21.3634,72.9204,,27.9134,23.9439,20.9599,0.7210,38.8137,
-25050.88,,3.9804,6.9792,,21.3634,72.9204,,27.9134,23.9439,20.9599,0.7224,38.9757,
-25049.88,,3.9793,6.9792,,21.3634,72.9204,,30.9064,25.9512,20.9599,0.7231,39.0104,
-25048.88,,3.9793,6.9781,,21.3634,72.9204,,30.9064,25.9512,19.9653,0.7219,39.4387,
-25047.88,,3.9804,6.9781,,21.3634,72.9204,,26.9188,21.9455,19.9653,0.7210,38.8773,
-25046.88,,3.9793,6.9781,,21.3634,72.9204,,26.9188,21.9455,20.9599,0.7220,39.1667,
-25045.88,,3.9804,6.9781,,21.3634,72.9204,,25.9151,22.9492,20.9599,0.7220,39.0972,
-25044.88,,3.9804,6.9781,,21.3634,72.9204,,25.9151,22.9492,20.9599,0.7220,39.2419,
-25043.88,,3.9804,6.9781,,21.3634,72.9204,,27.9134,25.9512,21.9727,0.7210,38.9815,
-25042.88,,3.9804,6.9770,,21.3634,72.9204,,27.9134,25.9512,21.9727,0.7220,38.9757,
-25041.88,,3.9804,6.9770,,21.3634,72.9204,,27.9134,27.9405,22.9763,0.7218,39.0683,
-25040.88,,3.9804,6.9781,,21.3634,72.9204,,27.9134,27.9405,22.5242,0.7210,39.0683,
-25039.88,,3.9793,6.9781,,21.3634,72.9204,,27.9134,27.9405,20.9599,0.7228,38.9931,
-25038.88,,3.9804,6.9781,,21.3634,72.9204,,27.9134,27.9405,21.9546,0.7220,39.0451,
-25037.88,,3.9804,6.9770,,21.3634,72.9204,,28.9081,20.9509,21.9546,0.7210,38.7905,
-25036.88,,3.9804,6.9770,,21.3634,72.9204,,28.9081,20.9509,20.9599,0.7210,38.9931,
-25035.88,,3.9804,6.9770,,21.3634,72.9204,,25.9151,21.9455,20.9599,0.7210,39.0162,
-25034.88,,3.9804,6.9770,,21.3634,72.9204,,25.9151,21.9455,20.9599,0.7220,38.9236,
-25033.88,,3.9804,6.9770,,21.3634,72.9204,,28.9081,21.9455,20.9599,0.7210,39.0972,
-25032.88,,3.9804,6.9781,,21.3634,72.9204,,28.9081,21.9455,20.9599,0.7210,39.0972,
-25031.88,,3.9804,6.9781,,21.3634,72.9204,,27.9134,23.9439,20.9599,0.7229,39.1782,
-25030.88,,3.9804,6.9770,,21.3634,72.9204,,27.9134,23.9439,20.9599,0.7210,38.8715,
-25029.88,,3.9804,6.9770,,21.3634,72.9204,,29.9117,25.9512,20.9599,0.7210,39.1204,
-25028.88,,3.9804,6.9770,,21.3634,72.9204,,29.9117,25.9512,20.4445,0.7231,39.0625,
-25027.88,,3.9804,6.9770,,21.3634,72.9204,,28.9081,23.9439,19.9653,0.7220,39.0972,
-25026.88,,3.9804,6.9770,,21.3634,72.9204,,28.9081,23.9439,20.9599,0.7220,38.8194,
-25025.88,,3.9804,6.9770,,21.3634,72.9204,,26.9188,20.9509,20.9599,0.7210,38.9005,
-25024.88,,3.9804,6.9770,,21.3634,72.9204,,26.9188,20.9509,,0.7231,39.1377,
-25023.88,,3.9804,6.9770,,21.3634,72.9204,,30.9064,26.9459,,0.7210,38.9583,
-25022.88,,3.9804,6.9759,,21.3634,72.9204,,30.9064,26.9459,,0.7221,39.0799,
-25021.88,,3.9804,6.9770,,21.3634,72.9204,,27.9134,21.9455,,0.7229,39.0046,
-25020.88,,3.9804,6.9770,,21.3634,72.9204,,27.9134,21.9455,,0.7220,39.0509,
-25019.88,,3.9804,6.9770,,21.3634,72.9204,,25.9151,20.9509,,0.7210,39.2824,
-25018.88,,3.9793,6.9770,,21.3634,72.9204,,25.9151,20.9509,,0.7210,39.2419,
-25017.88,,3.9804,6.9770,,21.3634,72.9204,,25.9151,20.9509,,0.7210,39.2650,
-25016.88,,3.9804,6.9759,,21.3634,72.9204,,25.9151,20.9509,,0.7210,38.9005,
-25015.88,,3.9804,6.9770,,21.3634,72.9204,,26.9188,22.9492,,0.7210,38.9931,
-25014.88,,3.9804,6.9759,,21.3634,72.9204,,26.9188,22.9492,,0.7220,39.0509,
-25013.88,,3.9804,6.9770,,21.3634,72.9204,,29.9117,25.9512,,0.7210,39.2824,
-25012.88,,3.9804,6.9770,,21.3634,72.9204,,29.9117,25.9512,,0.7210,39.1493,
-25011.88,,3.9804,6.9759,,21.3634,72.9204,,27.9044,23.9439,,0.7210,39.0972,
-25010.88,,3.9804,6.9770,,21.3634,72.9204,,27.9044,23.9439,,0.7210,38.7847,
-25009.88,,3.9804,6.9759,,21.3634,72.9204,,27.9044,26.9459,,0.7221,38.8137,
-25008.88,,3.9804,6.9759,,21.3634,72.9204,,27.9044,26.9459,,0.7210,38.9641,
-25007.88,,3.9804,6.9759,,21.3634,72.9204,,26.9188,23.9439,,0.7210,38.8889,
-25006.88,,3.9804,6.9770,,21.3634,72.9204,,26.9188,23.9439,,0.7231,39.0683,
-25005.88,,3.9804,6.9759,,21.3634,72.9204,,29.9117,24.9385,,0.7210,39.2650,
-25004.88,,3.9804,6.9759,,21.3634,72.9204,,29.9117,24.9385,,0.7220,38.9583,
-25003.88,,3.9804,6.9759,,21.3634,72.9204,,30.9064,23.9439,,0.7220,38.9294,
-25002.88,,3.9793,6.9759,,21.3634,72.9204,,30.9064,23.9439,,0.7210,39.0509,
-25001.88,,3.9793,6.9770,,21.3634,72.9204,,26.9188,22.9492,,0.7210,38.9931,
-25000.88,,3.9793,6.9759,,21.3634,72.9204,,26.9188,22.9492,,0.7211,39.0451,
-24999.88,,3.9793,6.9770,,21.3634,72.9204,,27.9134,21.9455,,0.7210,39.2419,
-24998.88,,3.9804,6.9756,,21.3634,72.9204,,27.9134,21.9455,,0.7210,39.0220,
-24997.88,,3.9804,6.9745,,21.3634,72.9204,,27.9134,19.9472,,0.7210,38.8368,
-24996.88,,3.9804,6.9756,,21.3634,72.9204,,27.9134,19.9472,,0.7229,38.8484,
-24995.88,,3.9793,6.9756,,21.3634,72.9204,,27.9134,21.9455,,0.7210,38.9294,
-24994.88,,3.9804,6.9745,,21.3634,72.9204,,27.9134,21.9455,,0.7220,38.9468,
-24993.88,,3.9793,6.9756,,21.3634,72.9204,,26.9188,24.9385,,0.7231,39.1088,
-24992.88,,3.9804,6.9759,,21.3634,72.9204,,26.9188,24.9385,,0.7210,38.9641,
-24991.88,,3.9804,6.9759,,21.3634,72.9204,,27.9134,23.9439,,0.7210,39.1493,
-24990.88,,3.9793,6.9756,,21.3634,72.9204,,27.9134,23.9439,,0.7210,39.3229,
-24989.88,,3.9804,6.9756,,21.3634,72.9204,,26.9188,21.9455,,0.7210,39.0799,
-24988.88,,3.9804,6.9759,,21.3634,72.9204,,26.9188,21.9455,,0.7220,38.9236,
-24987.88,,3.9804,6.9770,,21.3634,72.9204,,25.9151,21.9455,,0.7210,39.0741,
-24986.88,,3.9804,6.9759,,21.3634,72.9204,,25.9151,21.9455,,0.7210,38.9641,
-24985.88,,3.9804,6.9759,,21.3634,72.9204,,25.9151,23.9439,,0.7210,38.9583,
-24984.88,,3.9793,6.9756,,21.3634,72.9204,,25.9151,23.9439,,0.7214,38.8773,
-24983.88,,3.9804,6.9756,,21.3634,72.9204,,26.9188,21.9455,,0.7210,39.0104,
-24982.88,,3.9793,6.9756,,21.3634,72.9204,,26.9188,21.9455,,0.7227,38.9178,
-24981.88,,3.9793,6.9756,,21.3634,72.9204,,28.9081,23.9439,,0.7210,39.1377,
-24980.88,,3.9804,6.9756,,21.3634,72.9204,,28.9081,23.9439,,0.7210,38.9236,
-24979.88,,3.9793,6.9745,,21.3634,72.9204,,27.9134,27.9405,,0.7210,39.0220,
-24978.88,,3.9793,6.9756,,21.3634,72.9204,,27.9134,27.9405,,0.7217,39.0914,
-24977.88,,3.9793,6.9745,,21.3634,72.9204,,27.9134,23.9439,,0.7210,39.2130,
-24976.88,,3.9793,6.9745,,21.3634,72.9204,,27.9134,23.9439,,0.7210,38.7789,
-24975.88,,3.9793,6.9745,,21.3634,72.9204,,26.9188,21.9455,,0.7210,38.8484,
-24974.88,,3.9793,6.9745,,21.3634,72.9204,,26.9188,21.9455,,0.7210,39.1030,
-24973.88,,3.9793,6.9745,,21.3634,72.9204,,28.9081,26.9459,,0.7210,39.1030,
-24972.88,,3.9804,6.9745,,21.3634,72.9204,,28.9081,26.9459,,0.7210,39.0046,
