Система автоматизации,AS
Абонент,ГПА-32
Ретросистема,Архив останова
Дата,14.11.22
Время,14:46:01
Длительность архива (сек),3600.00
Время предыстории (сек),1200.00

Дата,Время,Статус,Сообщение,Тип,Флаги
14.11.2022,14:41:16.706,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:17.309,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:17.511,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:18.510,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:18.706,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:18.908,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:19.108,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:19.309,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:20.308,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:20.510,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:22.108,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:22.309,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:22.906,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:23.106,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:25.508,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:25.703,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:28.106,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:28.307,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:51.908,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:52.108,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:55.108,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:55.309,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:55.908,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:56.109,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:59.109,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:59.308,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:41:59.908,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:01.107,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:01.706,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:01.908,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:02.510,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:02.704,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:04.509,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:05.307,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:05.508,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:05.906,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:06.106,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:06.307,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:06.508,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:06.906,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:07.307,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:07.508,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:07.705,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:07.907,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:09.107,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:09.306,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:15.108,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:15.309,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:18.309,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:18.509,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:21.706,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:21.908,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:22.511,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:22.704,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:23.307,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:23.508,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:24.106,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:24.307,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:25.906,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:26.106,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:26.307,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:26.509,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:28.306,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:28.507,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:29.307,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:29.508,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:34.104,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:34.305,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:34.904,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:35.304,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:43.908,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:44.108,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:46.108,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:46.309,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:46.706,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:47.510,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:47.908,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:48.309,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:49.509,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:49.706,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:49.908,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:50.309,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:50.510,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:50.706,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:52.108,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:52.309,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:52.510,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:52.706,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:52.909,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:53.108,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:55.908,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:56.109,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:42:57.108,Пришло,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:43:00.902,Изменен,"PULT1_2ST. МВ_Кожевников: 64.0 -> 65.0 : 'Задание на АПК при ДУ, %'",Изменение настроек,
14.11.2022,14:43:56.359,Изменен,"PULT1_2ST. МВ_Кожевников: 65.0 -> 66.0 : 'Задание на АПК при ДУ, %'",Изменение настроек,
14.11.2022,14:44:36.675,Пришло,"Включить ЭНБП",Выход,
14.11.2022,14:44:37.074,Пришло,"ЭНБП включены",Вход,
14.11.2022,14:44:38.876,Снялось,"Включить ЭНБГ",Выход,
14.11.2022,14:44:39.274,Снялось,"ЭНБГ включен",Вход,
14.11.2022,14:44:48.389,Изменен,"PULT1_2ST. МВ_Кожевников: 66.0 -> 67.0 : 'Задание на АПК при ДУ, %'",Изменение настроек,
14.11.2022,14:45:27.952,Изменен,"PULT1_2ST. МВ_Кожевников: 67.0 -> 68.0 : 'Задание на АПК при ДУ, %'",Изменение настроек,
14.11.2022,14:45:55.532,Изменен,"PULT1_2ST. МВ_Кожевников: 68.0 -> 69.0 : 'Задание на АПК при ДУ, %'",Изменение настроек,
14.11.2022,14:46:51.677,Пришло,"Включить ЭНБГ",Выход,
14.11.2022,14:46:52.077,Пришло,"ЭНБГ включен",Вход,
14.11.2022,14:47:56.942,Пришло,"Стабилизация dPг на кране 2",Фаза технологического процесса,
14.11.2022,14:47:57.735,Снялось,"Стабилизация dPг на кране 2",Фаза технологического процесса,
14.11.2022,14:48:48.736,Пришло,"Стабилизация dPг на кране 2",Фаза технологического процесса,
14.11.2022,14:48:49.736,Снялось,"Стабилизация dPг на кране 2",Фаза технологического процесса,
14.11.2022,14:50:59.736,Пришло,"Стабилизация dPг на кране 2",Фаза технологического процесса,
14.11.2022,14:51:00.736,Снялось,"Стабилизация dPг на кране 2",Фаза технологического процесса,
14.11.2022,14:51:15.338,Пришло,"Стабилизация dPг на кране 2",Фаза технологического процесса,
14.11.2022,14:51:15.733,Снялось,"Стабилизация dPг на кране 2",Фаза технологического процесса,
14.11.2022,14:53:04.733,Пришло,"Повышеная температура упорного подшипника Км",Предупреждение,
14.11.2022,14:53:05.703,Пришло,"Кран №12 закрыть",Выход,
14.11.2022,14:53:05.723,Пришло," АОсс",Сообщение об изменении режима работы агрегата,
14.11.2022,14:53:05.723,Снялось," Кольцо",Сообщение об изменении режима работы агрегата,
14.11.2022,14:53:05.739,Пришло,"Аварийно-высокая Т упорного подшипника Км",Авария,
14.11.2022,14:53:05.741,Снялось,"Контур стабилизации СТ",Фаза технологического процесса,
14.11.2022,14:53:05.741,Снялось,"признак максимального режима",Прочие сообщения,
14.11.2022,14:53:05.741,Снялось,"Открыть CК",Прочие сообщения,
14.11.2022,14:53:05.741,Пришло,"Открыть КПВ",Прочие сообщения,
14.11.2022,14:53:05.741,Пришло,"Открыть КПВЗ",Прочие сообщения,
14.11.2022,14:53:05.741,Снялось,"Готовность к запуску",Прочие сообщения,
14.11.2022,14:53:05.741,Снялось,"Двигатель работает",Прочие сообщения,
14.11.2022,14:53:05.741,Снялось,"Готовность к холодной прокрутке",Прочие сообщения,
14.11.2022,14:53:05.741,Снялось,"Розжиг камеры сгорания",Фаза технологического процесса,
14.11.2022,14:53:05.743,Пришло,"Отключение АУ УТО",Прочие сообщения,
14.11.2022,14:53:05.746,Пришло,"Запись ретро останова",Фаза технологического процесса,
14.11.2022,14:53:05.901,Пришло,"КПВЗ и КПГ открыты",Вход,
14.11.2022,14:53:05.904,Снялось,"Открыть СК",Выход,
14.11.2022,14:53:05.904,Пришло,"Открыть КПВ",Выход,
14.11.2022,14:53:05.904,Пришло,"Открыть КПГ и КПВЗ",Выход,
14.11.2022,14:53:05.905,Пришло,"Закрыть ЗПЦВ",Выход,
14.11.2022,14:53:05.934,Снялось,"Взведена защита: по самопроизвольному закрытию СК",Прочие сообщения,
14.11.2022,14:53:05.934,Снялось,"Взведена защита: Открыты двери кожуха ГТУ",Прочие сообщения,
14.11.2022,14:53:05.934,Снялось,"Пуск работа",Прочие сообщения,
14.11.2022,14:53:05.934,Пришло,"Нет режимов работы",Прочие сообщения,
14.11.2022,14:53:05.947,Пришло,"Останов системы подачи топливного газа",Режимное сообщение,
14.11.2022,14:53:05.947,Снялось,"Условия обледенения ВОУ",Фаза технологического процесса,
14.11.2022,14:53:06.101,Пришло,"СК закрыт",Вход,
14.11.2022,14:53:06.101,Пришло,"КПВ открыты",Вход,
14.11.2022,14:53:06.134,Снялось,"Взведена защита: Повышенный часовой расход масла двигателя",Прочие сообщения,
14.11.2022,14:53:06.134,Снялось,"Взведена защита: по уровню масла в МБК",Прочие сообщения,
14.11.2022,14:53:06.302,Снялось,"Кран № 12 открыт",Вход,
14.11.2022,14:53:06.335,Снялось,"Взведена защита: Входной тракт двигателя засорен",Прочие сообщения,
14.11.2022,14:53:06.502,Пришло,"Кран № 12 закрыт",Вход,
14.11.2022,14:53:06.535,Снялось,"Взведена защита по давлению масла на входе в Д",Прочие сообщения,
14.11.2022,14:53:06.536,Пришло,"Взведена защита: Неисправность электростартера",Прочие сообщения,
14.11.2022,14:53:06.536,Снялось,"Взведена защита: по Qв в БС",Прочие сообщения,
14.11.2022,14:53:06.552,Снялось,"Взведена защита: по Qв в БС",Фаза технологического процесса,
14.11.2022,14:53:06.704,Пришло,"Открыть КСГС",Выход,
14.11.2022,14:53:06.733,Снялось,"Взведена защита по вибрации двигателя",Прочие сообщения,
14.11.2022,14:53:06.734,Пришло,"Нет U на электропр. особой группы от ввода 4 (ИБП)",Предупреждение,
14.11.2022,14:53:06.739,Пришло,"Неисправность ВНА (< -7°)",Авария,
14.11.2022,14:53:06.741,Пришло,"нет готовности электростартера",Предупреждение,
14.11.2022,14:53:06.947,Пришло,"Стабилизация dPг на кране 2",Фаза технологического процесса,
14.11.2022,14:53:07.104,Снялось,"ЗПЦВ открыта",Вход,
14.11.2022,14:53:07.147,Снялось,"Стабилизация dPг на кране 2",Фаза технологического процесса,
14.11.2022,14:53:07.502,Пришло,"Кран  № 6р (АПК) открыт",Вход,
14.11.2022,14:53:07.733,Пришло,"Нет готовности электростартера",Предупреждение,
14.11.2022,14:53:07.947,Снялось,"ЗПЦВ открыта",Фаза технологического процесса,
14.11.2022,14:53:08.302,Снялось,"ПОС включена",Вход,
14.11.2022,14:53:08.338,Снялось,"ПОС ГТУ не выключен",Предупреждение,
14.11.2022,14:53:08.348,Снялось,"Работает ПОС ГТУ",Фаза технологического процесса,
14.11.2022,14:53:08.704,Снялось,"Открыть КСГС",Выход,
14.11.2022,14:53:09.502,Снялось,"КПВЗ и КПГ открыты",Вход,
14.11.2022,14:53:09.704,Снялось,"Кран №12 закрыть",Выход,
14.11.2022,14:53:10.504,Снялось,"КСГС закрыт",Вход,
14.11.2022,14:53:11.535,Снялось,"Взведена защита: Неисправность ВНА",Прочие сообщения,
14.11.2022,14:53:14.704,Снялось,"Готовность 2 (БЗА)",Вход,
14.11.2022,14:53:16.706,Пришло,"ЗПЦВ закрыта",Вход,
14.11.2022,14:53:17.744,Пришло," Резерв",Прочие сообщения,
14.11.2022,14:53:19.707,Снялось,"Закрыть ЗПЦВ",Выход,
14.11.2022,14:53:19.909,Снялось,"Включить ЭНБГ",Выход,
14.11.2022,14:53:20.307,Снялось,"ЭНБГ включен",Вход,
14.11.2022,14:53:25.145,Снялось,"Открыть КПВ",Прочие сообщения,
14.11.2022,14:53:25.145,Снялось,"Открыть КПВЗ",Прочие сообщения,
14.11.2022,14:53:25.309,Снялось,"Открыть КПВ",Выход,
14.11.2022,14:53:25.309,Снялось,"Открыть КПГ и КПВЗ",Выход,
14.11.2022,14:53:34.693,Заквитировано,"Нет готовности электростартера",Предупреждение,
14.11.2022,14:53:34.693,Заквитировано,"нет готовности электростартера",Предупреждение,
14.11.2022,14:53:34.693,Заквитировано,"Неисправность ВНА (< -7°)",Авария,
14.11.2022,14:53:34.693,Заквитировано,"Нет U на электропр. особой группы от ввода 4 (ИБП)",Предупреждение,
14.11.2022,14:53:34.693,Заквитировано,"Аварийно-высокая Т упорного подшипника Км",Авария,
14.11.2022,14:53:34.693,Заквитировано,"Повышеная температура упорного подшипника Км",Предупреждение,
14.11.2022,14:53:35.907,Пришло,"КСГС открыт",Вход,
14.11.2022,14:53:36.352,Пришло,"Стравливание фильтров ТГ",Фаза технологического процесса,
14.11.2022,14:53:37.338,Снялось,"Повышеная температура упорного подшипника Км",Предупреждение,
14.11.2022,14:53:42.346,Снялось," Резерв",Прочие сообщения,
14.11.2022,14:53:54.341,Пришло,"КПВ не закрыт",Предупреждение,
14.11.2022,14:54:19.510,Заквитировано,"КПВ не закрыт",Предупреждение,
14.11.2022,14:54:36.307,Пришло,"Закрыть КСГС",Выход,
14.11.2022,14:54:36.555,Снялось,"Стравливание фильтров ТГ",Фаза технологического процесса,
14.11.2022,14:54:36.704,Снялось,"КСГС открыт",Вход,
14.11.2022,14:54:36.704,Снялось,"Контроль БУПУ КСГС",Вход,
14.11.2022,14:54:36.906,Пришло,"КСГС закрыт",Вход,
14.11.2022,14:54:37.107,Пришло,"Кран №9 открыть",Выход,
14.11.2022,14:54:37.504,Снялось,"Кран № 9 закрыт",Вход,
